freq,unique_id,method,kind,mase,smape,rmsse
hourly,H94,naive2,model,1.5630683953554272,0.07256382239133746,1.215958212941205
hourly,H96,naive2,model,1.7773644419352463,0.10926786143571872,1.3319059341198576
hourly,H100,autotheta,model,1.6651265742841455,0.21841695418685872,1.221053654232695
hourly,H11,autotheta,model,3.7521171976413514,0.196617137922433,3.232326025163027
hourly,H111,autotheta,model,1.1635168618860665,0.10700779575592102,0.9874503187060097
hourly,H116,autotheta,model,0.5863819768377038,0.03707619915432047,0.520434906144273
hourly,H117,autotheta,model,0.6623194833052884,0.05097586322332759,0.6343285334933885
hourly,H12,autotheta,model,0.4938479333188726,0.028576907121622558,0.4417199275124855
hourly,H120,autotheta,model,1.4784659906342361,0.07061528712835065,1.2949895730370657
hourly,H121,autotheta,model,0.8573949039088071,0.028130564524892,0.8066786025194554
hourly,H123,autotheta,model,1.3155175507116597,0.19959930851913124,1.0505689053187455
hourly,H126,autotheta,model,2.8316396136872157,0.6396851034535567,2.4725730355540794
hourly,H13,autotheta,model,0.840743339215525,0.049947191000644375,0.6135391013279622
hourly,H130,autotheta,model,0.4548124726113095,0.7185204558392423,0.275051843072184
hourly,H131,autotheta,model,0.5803121398944896,0.2024613065121075,0.476395101576859
hourly,H138,autotheta,model,2.189219209219528,0.5033465298845373,1.9233908971120055
hourly,H143,autotheta,model,1.2892211209376216,0.43154807041689347,1.1088780800176417
hourly,H144,autotheta,model,2.0280124514683533,0.5832276606686893,1.4701040140826065
hourly,H146,autotheta,model,2.3806827109402815,0.7857753418153403,1.627171834289126
hourly,H147,autotheta,model,2.6320106392511873,0.6994550816598576,1.6365718482896616
hourly,H149,autotheta,model,0.6254250138360308,0.3451477433127003,0.4689962822791636
hourly,H154,autotheta,model,0.3142875428505507,0.26681365716726413,0.2012082692530853
hourly,H156,autotheta,model,1.0995240799193813,0.28228224681276526,0.8876519285888141
hourly,H16,autotheta,model,0.676256482886281,0.0379400601719827,0.7277398111863419
hourly,H165,autotheta,model,1.5349575550521473,0.49340210317544625,1.0938364820760018
hourly,H169,autotheta,model,1.6978342329059413,0.39346295849973423,1.2686142472458521
hourly,H174,autotheta,model,6.204527097455337,0.2279493251634578,6.4371831330152185
hourly,H177,autotheta,model,2.030343054724459,0.015859339559926727,2.313438624978379
hourly,H178,autotheta,model,1.0250767185739134,0.006480026681902055,1.2233569123672694
hourly,H184,autotheta,model,1.1663359675616318,0.007642256170895342,1.2736039738464282
hourly,H186,autotheta,model,1.2920320704528419,0.011193180613771496,1.2984967079192946
hourly,H192,autotheta,model,3.0458361124976263,0.01821718142140418,3.328880048568302
hourly,H195,autotheta,model,0.7375021401794006,0.0066546759137679915,0.7999524395135071
hourly,H196,autotheta,model,1.6518997753807307,0.011054227048746664,1.8319268450145914
hourly,H198,autotheta,model,1.7833340741583885,0.013209885711159233,1.882757008523397
hourly,H20,autotheta,model,0.5352209313105137,0.029710275471253874,0.5472198592655906
hourly,H202,autotheta,model,3.8679947495572384,0.12961892140205028,3.755085205479868
hourly,H203,autotheta,model,0.6020928898787298,0.004795891598231469,0.6196165595465233
hourly,H204,autotheta,model,1.8740791695859966,0.012479455935531564,1.929163817247569
hourly,H206,autotheta,model,1.9848007538118184,0.015549422272783752,2.1954226632211977
hourly,H208,autotheta,model,3.387094823885752,0.022426712371780778,3.410059638408877
hourly,H209,autotheta,model,3.974576760814246,0.019933084250501776,3.449399105254145
hourly,H213,autotheta,model,2.7931317325166143,0.013179659447162415,2.5891000534061073
hourly,H216,autotheta,model,2.3903071836033067,0.018363955567127454,2.5153632262370684
hourly,H218,autotheta,model,1.8488486589347095,0.013708910223243118,1.9947954661007135
hourly,H220,autotheta,model,1.5192077441979375,0.010493242122346402,1.5707317276814352
hourly,H223,autotheta,model,0.5901257360855631,0.12335978072876828,0.7335035750054911
hourly,H225,autotheta,model,2.0639826858059505,0.014051375343649156,2.165570722843621
hourly,H227,autotheta,model,1.497295531779265,0.010846160246711513,1.655024179401023
hourly,H229,autotheta,model,0.7578016585826397,0.004998450394000307,0.7743878884639053
hourly,H232,autotheta,model,1.2352640761964173,0.008603331035375963,1.2884265850666818
hourly,H235,autotheta,model,1.7370222787206462,0.010376354052912167,1.7464061105123816
hourly,H238,autotheta,model,1.0194957830430704,0.006276473974986332,0.9788025004509394
hourly,H24,autotheta,model,1.224097807630855,0.08378411694821956,0.9305669114045917
hourly,H241,autotheta,model,3.1313430637637354,0.003246078883072706,1.7237337500094212
hourly,H242,autotheta,model,6.137512676850397,0.013515773272503806,4.2507356675875565
hourly,H244,autotheta,model,0.9416354762382664,0.1390279273138257,0.9156568968611757
hourly,H248,autotheta,model,4.565136924627952,0.17418287467358015,4.7526029588753556
hourly,H249,autotheta,model,5.120401037724778,0.28444370413847936,5.294565479608154
hourly,H251,autotheta,model,1.1327584634406016,0.009287040208389205,1.249040502612659
hourly,H255,autotheta,model,5.121393950864129,0.21676086755946752,5.450666872455619
hourly,H256,autotheta,model,1.6195150417654254,0.009129137517877299,1.4626896811802772
hourly,H257,autotheta,model,1.6071352852491498,0.012290233081856257,1.6921200295371472
